1904	6	7	JAPAN:  SEA OF JAPAN	40.000	134.000	350	7.9		
1904	6	25	RUSSIA:  OFF KAMCHATKA	52.000	159.000	30	8.3	10	
1904	6	25	RUSSIA:  OFF KAMCHATKA	52.000	159.000	30	8.1	10	
1904	6	27	RUSSIA:  OFF KAMCHATKA	52.000	159.000	60	7.9	9	
1904	8	8	NEW ZEALAND:  E OF NORTH ISLAND	-40.500	177.000	33	7.5		
1904	8	11	GREECE:  SAMOS, PATMOS	37.750	27.000	10	6.2	10	4
1904	8	24	JAPAN:  KYUSHU	30.000	130.000	25	7.9		
1904	8	27	ALASKA:  RAMPART	64.660	-148.080		8.3	6	
1904	8	30	CHINA:  SICHUAN PROVINCE	31.200	100.900		6.0	8	400
1904	11	1	ECUADOR	-1.000	-80.500		7.7		
1904	11	5	TAIWAN:  JIAYI	23.500	120.300		6.3		145
1904	12	20	PANAMA:  BOCAS DEL TORO	9.200	-82.800	60	7.2		
1905	1	20	COSTA RICA:  PUNTARENAS	9.850	-84.680		6.8		
1905	1	22	INDONESIA:  MINAHASSA PENINSULA	1.000	123.000	90	8.4		
1905	2	14	ALASKA:  ANDREANOF ISLANDS	50.730	-178.550		7.9		
1905	3	18	KERMADEC ISLANDS	-27.500	-173.000	60	7.5		
1905	4	4	INDIA:  KANGRA	33.000	76.000	25	7.8	10	19000
1905	4	15	TURKEY	40.200	29.000	33	6.5	10	
1905	5	18	PAPUA NEW GUINEA:  BISMARCK SEA	-4.000	149.000	60	7.5		
1905	6	1	ALBANIA:  SHKODER	42.100	19.600	20	6.6	10	120
1905	6	2	JAPAN:  AKI	34.000	132.000	100	7.8		11
1905	6	30	KIRIBATI:  PHOENIX ISLANDS	-1.000	-168.000	60	7.6		
1905	7	6	JAPAN:  OFF FUKUSHIMA	37.400	142.600	33	7.0		
1905	7	9	MONGOLIA	49.000	99.000	33	8.4		
1905	7	23	MONGOLIA	49.000	98.000	33	8.4		
1905	9	1	JAPAN:  HOKKAIDO	45.000	143.000	230	7.5		
1905	9	8	ITALY:  MONTELEONE,TROPEA,NONTE PORO	39.000	16.000		7.9	10	557
1905	9	15	RUSSIA:  KOMANDORSKY ISLAND	53.000	164.000	60	7.8		
1905	10	4	RUSSIA:  BLACK SEA	44.500	37.500		5.1	7	
1905	10	8	BULGARIA	42.000	23.000	33	6.4	10	
1905	10	21	GEORGIA:  CAUCASUS	42.000	42.000	60	7.5		
1905	11	8	CHINA:  SICHUAN PROVINCE	29.300	104.800		5.0	6	13
1905	11	8	GREECE:  AEGEAN SEA	40.250	24.200	30	7.8	10	
1905	12	4	TURKEY:  PUTURGE,CELIKHAN,RUMKALE	38.100	38.600		6.8	9	
1905	12	8	PHILIPPINES:  W. LUZON ISLAND:  TUBURAN	11.000	123.500		6.5		
1906	1	7	CHINA:  YUNNAN PROVINCE	26.600	104.100		5.5	7	
1906	1	21	JAPAN:  NEAR S COAST HONSHU	34.000	138.000	340	8.4		
1906	1	31	ECUADOR:  OFF COAST	1.000	-81.500	25	8.6	9	1000
1906	2	3	COLOMBIA	3.500	-76.200		7.7	10	
1906	3	1	ALBANIA:   ELBASAN	41.100	20.000	15	6.5	10	
1906	3	16	TAIWAN:  JIAYI	23.600	120.500		6.8		1258
1906	3	28	CHINA:  FUJIAN PROVINCE	24.500	118.500		6.5	8	
1906	4	10	MEXICO:  REVILLA GIGEDO ISLANDS	19.000	-113.800	60	7.5		
1906	4	13	TAIWAN:  JIAYI	23.400	120.400		6.5		15
1906	4	18	CALIFORNIA:  SAN FRANCISCO	37.670	-122.480	20	7.9	11	700
1906	5		CHINA:  YUNNAN PROVINCE	24.600	98.600		5.3	7	1
1906	7	11	COLOMBIA	4.600	-74.000		7.7	9	
1906	7	14	COLOMBIA	4.600	-74.000		7.7	9	
1906	8	17	ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS	51.050	179.690	25	7.8		
1906	8	17	CHILE:  SOUTH CENTRAL	-33.000	-72.000	25	8.2	11	4000
1906	8	25	ETHIOPIA:  SHOA	9.000	38.400		6.8		
1906	9	14	PAPUA NEW GUINEA:  NEW BRITAIN	-7.000	149.000	33	8.0		
1906	9	28	ECUADOR	-2.000	-79.000	150	7.9	7	
1906	10	2	PAPUA NEW GUINEA:  BISMARCK SEA	-4.000	149.000		7.2		
1906	11	19	AUSTRALIA:  WEST COAST	-22.000	109.000		7.8		
1906	11	20	GHANA:  HO, AKPAFU, PALIME, MISA, ACCRA; TOGO	6.500	.300		5.0	8	
1906	12	3	MARTINIQUE	15.000	-61.000	100	7.9		
1906	12	22	CHINA:  XINJIANG PROVINCE	43.500	85.000	33	8.3	9	280
1906	12	23	ALASKA:  ALEUTIAN ISLANDS	56.850	-153.900		7.6		
1906	12	26	PERU:  OFF SOUTH COAST	-18.000	-71.000	33	7.9		
1907	1	4	INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS	2.000	94.500	50	7.8		
1907	1	14	JAMAICA:  KINGSTON	18.200	-76.800		6.5		1000
1907	2	23	PERU	-13.200	-75.400	90	7.6		
1907	3	29	INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND	3.000	122.000	500	7.3		
1907	4	15	MEXICO:  GUERRERO	17.000	-100.000	60	8.3		8
1907	4	18	PHILIPPINES:  SE LUZON:  CAMARINES	14.000	123.000		7.6	9	2
1907	4	18	PHILIPPINES:  SE LUZON:  CAMARINES	13.500	123.000		7.4	7	
1907	5	4	PAPUA NEW GUINEA:  NEW BRITAIN	-7.500	153.700	60	7.7		
1907	5	25	RUSSIA:  SEA OF OKHOTSK	51.500	147.000	600	7.9		
1907	6	25	INDONESIA:  DJAILOLO GILOLO	1.000	127.000	200	7.9		
1907	8	16	ALBANIA	41.100	20.100	13	6.2	10	
1907	9	2	ALASKA:  ALEUTIAN ISLANDS	52.590	-169.730		7.8		
1907	9	24	ALASKA:  SKAGWAY	59.500	-135.500		5.5	5	
1907	10	16	MEXICO:  GULF OF CALIFORNIA	28.000	-112.500	60	7.7		
1907	10	21	TAJIKISTAN:   KARATAG	38.500	67.900	35	7.4	9	12000
1907	10	23	ITALY:  FERRUZANO	38.133	16.017	33	5.9	10	158
1907	12	15	PAPUA NEW GUINEA:  BISMARCK SEA	-3.100	142.500	33	7.4		
1908	2	6	SW. SUMATRA	-2.000	100.000	130	7.5		
1908	2	14	ALASKA:  GULF OF ALASKA	61.000	-146.200		6.0		
1908	3	5	PHILIPPINES:  MINDANAO	9.000	126.000		7.5		
1908	3	23	INDONESIA:  TIMOR	-10.000	129.000		6.6		
1908	3	26	MEXICO:  GUERRERO	18.000	-99.000	80	8.1		
1908	3	27	MEXICO:  GUERRERO	17.000	-101.000		7.5		
1908	5	5	INDONESIA:  CELEBES SEA	3.000	123.000		7.5		
1908	9	21	HAWAII	19.000	-155.000	33	6.8		
1908	10	23	AFGHANISTAN:  HINDU KUSH	36.500	70.500	220	7.0		
1908	11	6	RUSSIA:  KURIL ISLANDS	45.000	150.000	40	7.6		
